year,artist,title,track_id
2000,MARY MARY,Shackles,7JKEA8xYDoFp4q0QBW2PGg
2000,TIM McGRAW,Some Things Never Change,2xVsM0134vrQSNFZOPcBHZ
2000,CLAY DAVIDSON,Unconditional,2vmL6YN8FcqbcHQcmv0BVh
2000,ALICE DEEJAY,Better Off Alone,48gBfTRel9fajeev7tmLpo
2000,WHITNEY HOUSTON,Same Script Different Cast,0XlEW7JnVJKgIs1jePjiyj
2000,COLLIN RAYE,Couldnt Last A Moment,72mr7QyZEQbrX89SxtePOc
2000,KENNY CHESNEY,What I Need To Do,203F5fqdu8WK880DM2cqVe
2000,A*TEENS,Dancing Queen,5uLY1JrkRN5U4SmzRIP3vT
2000,SISQO,Thong Song,5Mmk2ii6laakqfeCT7OnVD
2000,WESTLIFE,Swear It Again,2x1D20z93vGEjtTP07GOOr
2000,SANTANA,Maria Maria,3XKIUb7HzIF1Vu9usunMzc
2000,CHAD BROCK,Yes!,1PrZOkFxJqTZAH8P3x87hW
2000,BIG PUNISHER,Its So Hard,5NQdweL8O7nGdM7e4IS1lf
2000,ENRIQUE IGLESIAS,Be With You,1lZ4j5WBURBwZ0M5TT46wP
2000,NINE DAYS,Absolutely,3mNecsYFb6LQg7822DPXCP
2000,DESTINYS CHILD,Say My Name,7H6ev70Weq6DdpZyyTmUXk
2000,CARL THOMAS,I Wish,3lqT89gv8p3PYwXtr3ODjv
2000,SAVAGE GARDEN,Crash And Burn,60g4sp8i3gXSb1EkphMl1g
2000,DA BRAT,Whatchu Like,5d8woPn6sHRA6yPnnHnqSt
2000,RED HOT CHILI PEPPERS,Otherside,64BbK9SFKH2jk86U3dGj2P
2000,DMX,Party Up,0LWkaEyQRkF0XAms8Bg1fC
2000,BEFORE DARK,Monica,6oF2p0mye6O6cexdEeRfDf
2000,TRACE ADKINS,More,2XFSYvCBdoFebF3nqrLByy
2000,NAS,You Owe Me,2VqjCBJ4AxpDTrNRKhL0Pw
2000,CHRISTINA AGUILERA,Come On Over Baby,7A0apkTSTvMbSI7yplcmlh
2000,JAY-Z,Hey Papi,5RpSXFipAX2W6zo4HnHScn
2000,LL COOL J,Imagine That,2h2J06UFc4C2g5tnSgFZ5u
2000,GHOSTFACE KILLAH,Cherchez Laghost,5OsVXAWDMK7v37MwKEDjcD
2000,EVAN AND JARON,Crazy For This Girl,2gdt70w8DOCWGq1HdkgSUd
2000,BRAD PAISLEY,We Danced,4HHtqzri9jrmAGFyucxkLG
2000,AVANT,My First Love,1y2wM4Qxn27EOsQnhHYA3Q
2000,U2,Beautiful Day,1VuBmEauSZywQVtqbxNqka
2000,DIXIE CHICKS,Without You,5ucNGmVbZo3ZdUe1gpTgbF
2000,WYCLEF JEAN,911,28hgx2bWXcaBJeC9zVwrBq
2000,TIM McGRAW,My Next Thirty Years,7AHw9SfOITU9Q7sj3V5vxV
2000,MUSIQ SOULCHILD,Just Friends,5jgEJXjECdlhzNgfITSTVm
2000,BACKSTREET BOYS,Shape Of My Heart,35o9a4iAfLl5jRmqMX9c1D
2000,SHAGGY,It Wasnt Me,0OaunKfsxkgBvPv68jBbmm
2000,RICKY MARTIN,She Bangs,1uPrIHgYztXSkkcts9jet8
2000,R KELLY,I Wish,7sOqd1dVmfU5mgqrUtlqc5
2000,DREAM,He Loves You Not,2ozJmnjqCMJavEKoHqiou0
2000,MATCHBOX TWENTY,If Youre Gone,2f5N826udWfjT9iomeaBJt
2000,OUTKAST,Ms. Jackson,0I3q5fE6wg7LIfHGngUTnV
2000,NELLY,E.I.,0IU6W8xW3HF5MO1KvTv0qp
2000,SARA EVANS,Born To Fly,1zmvaeDthBdtthb4RgYr9a
2000,KENNY CHESNEY,I Lost It,2k6ahrUpg8CbeTjLocMQJ4
2000,BRITNEY SPEARS,Stronger,5QhBKPqsnX1uY9fZNaAtZg
2000,OFFSPRING,Original Prankster,6gfDXAX85YWdVwxpbz0npv
2000,DAVID GRAY,Babylon,5jLqVCGlKNYrLqCA1Qy4FV
2000,LIL KIM,How Many Licks,5jv3QxL0MFswzM1UJ2qQJM
2000,NINE DAYS,If I Am,0yA6uXukVZbi29GcmtK6i5
2000,CHRIS CAGLE,My Love Goes On And On,7apaBXGNnhJ5iSGjmtVP7t
2000,CLARK FAMILY EXPERIENCE,Meanwhile Back At The Ranch,2NpEN6jlCVuUBAJoptmaSF
2000,LIL BOW WOW,Bow Wow,1V4mWjnZlFHVXxccGYWmI0
2000,CHANTE MOORE,Straight Up,74ZQQZAVOrd5sENv57jfCj
2000,JO DEE MESSINA,Burn,1ALL0q76OjQeBvkLmD3Tbo
2000,LIMP BIZKIT,Rollin,3IV4swNduIRunHREK80owz
