year,artist,title,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,success
2017,BIG SEAN,No Favors,1MksGqIztTT6M9R1ErKVs8,0.482,0.781,11.0,-5.334,1.0,0.411,0.629,2.87e-06,0.413,0.336,57.967,audio_features,1MksGqIztTT6M9R1ErKVs8,spotify:track:1MksGqIztTT6M9R1ErKVs8,https://api.spotify.com/v1/tracks/1MksGqIztTT6M9R1ErKVs8,https://api.spotify.com/v1/audio-analysis/1MksGqIztTT6M9R1ErKVs8,325840.0,5.0,1.0
2017,DUSTIN LYNCH,Seein Red,7pxhKtuTwofDIdgHx2DcVK,0.651,0.808,1.0,-4.731,0.0,0.0435,0.054,0.0,0.0482,0.858,100.993,audio_features,7pxhKtuTwofDIdgHx2DcVK,spotify:track:7pxhKtuTwofDIdgHx2DcVK,https://api.spotify.com/v1/tracks/7pxhKtuTwofDIdgHx2DcVK,https://api.spotify.com/v1/audio-analysis/7pxhKtuTwofDIdgHx2DcVK,194893.0,4.0,1.0
2017,FUTURE,Rent Money,5W9QCBJ6Em0XWX333YrNhc,0.694,0.493,1.0,-8.581,1.0,0.373,0.0331,2.04e-06,0.431,0.313,166.457,audio_features,5W9QCBJ6Em0XWX333YrNhc,spotify:track:5W9QCBJ6Em0XWX333YrNhc,https://api.spotify.com/v1/tracks/5W9QCBJ6Em0XWX333YrNhc,https://api.spotify.com/v1/audio-analysis/5W9QCBJ6Em0XWX333YrNhc,265366.0,4.0,1.0
2017,FUTURE,Draco,4GkkxswcdEt1tkSyiRzgnC,0.804,0.456,8.0,-7.44,1.0,0.0468,0.000668,0.0,0.31,0.165,130.014,audio_features,4GkkxswcdEt1tkSyiRzgnC,spotify:track:4GkkxswcdEt1tkSyiRzgnC,https://api.spotify.com/v1/tracks/4GkkxswcdEt1tkSyiRzgnC,https://api.spotify.com/v1/audio-analysis/4GkkxswcdEt1tkSyiRzgnC,225135.0,4.0,1.0
2017,ED SHEERAN,How Would You Feel,6PJ8FF6UR8FZXfEvpHkIVN,0.617,0.439,9.0,-5.63,1.0,0.0269,0.424,0.0,0.127,0.242,139.979,audio_features,6PJ8FF6UR8FZXfEvpHkIVN,spotify:track:6PJ8FF6UR8FZXfEvpHkIVN,https://api.spotify.com/v1/tracks/6PJ8FF6UR8FZXfEvpHkIVN,https://api.spotify.com/v1/audio-analysis/6PJ8FF6UR8FZXfEvpHkIVN,280533.0,4.0,1.0
2017,LANA DEL REY,Love,7MtVPRGtZl6rPjMfLoI3Lh,0.532,0.452,9.0,-10.654,0.0,0.043,0.892,0.00113,0.127,0.203,129.895,audio_features,7MtVPRGtZl6rPjMfLoI3Lh,spotify:track:7MtVPRGtZl6rPjMfLoI3Lh,https://api.spotify.com/v1/tracks/7MtVPRGtZl6rPjMfLoI3Lh,https://api.spotify.com/v1/audio-analysis/7MtVPRGtZl6rPjMfLoI3Lh,218288.0,4.0,1.0
2017,FUTURE,Super Trapper,4XaW4jIud5YxwV4QRJOb40,0.816,0.414,1.0,-7.953,1.0,0.119,0.423,0.0,0.125,0.197,150.008,audio_features,4XaW4jIud5YxwV4QRJOb40,spotify:track:4XaW4jIud5YxwV4QRJOb40,https://api.spotify.com/v1/tracks/4XaW4jIud5YxwV4QRJOb40,https://api.spotify.com/v1/audio-analysis/4XaW4jIud5YxwV4QRJOb40,230129.0,4.0,1.0
2017,CALUM SCOTT,Dancing On My Own,2BOqDYLOJBiMOXShCV1neZ,0.682,0.173,1.0,-8.749,1.0,0.0314,0.839,3.26e-05,0.0983,0.236,112.663,audio_features,2BOqDYLOJBiMOXShCV1neZ,spotify:track:2BOqDYLOJBiMOXShCV1neZ,https://api.spotify.com/v1/tracks/2BOqDYLOJBiMOXShCV1neZ,https://api.spotify.com/v1/audio-analysis/2BOqDYLOJBiMOXShCV1neZ,260285.0,4.0,1.0
2017,DIERKS BENTLEY,Black,2lFtnEmkIPm2ClN55e2chV,0.652,0.654,1.0,-6.69,1.0,0.0377,0.252,0.000553,0.117,0.605,120.019,audio_features,2lFtnEmkIPm2ClN55e2chV,spotify:track:2lFtnEmkIPm2ClN55e2chV,https://api.spotify.com/v1/tracks/2lFtnEmkIPm2ClN55e2chV,https://api.spotify.com/v1/audio-analysis/2lFtnEmkIPm2ClN55e2chV,211160.0,4.0,1.0
2017,DJ SUEDE THE REMIX GOD,Cash Me Outside,1r6cyaW7yMykwSyxTuwcuM,0.981,0.417,11.0,-10.732,0.0,0.134,0.0471,0.359,0.103,0.262,122.044,audio_features,1r6cyaW7yMykwSyxTuwcuM,spotify:track:1r6cyaW7yMykwSyxTuwcuM,https://api.spotify.com/v1/tracks/1r6cyaW7yMykwSyxTuwcuM,https://api.spotify.com/v1/audio-analysis/1r6cyaW7yMykwSyxTuwcuM,129384.0,4.0,1.0
